"","990
085","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
091","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","29","",".",".",".",".",".","",".","",".","96.6","",".",".",".","3.4","",".",".",".","."
"M&ENVTOX
362","Dept. Total","105","3.337","17.1","3.8","13.3","1.9","1.9","",".","",".","56.2","",".",".",".","5.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","5","3.200","40.0",".","40.0",".","20.0","",".","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","6","3.333","50.0",".","33.3",".","16.7","",".","",".",".","",".",".",".",".","",".",".",".","."
"Special","","5","3.667","20.0","40.0",".",".",".","",".","",".","40.0","",".",".",".",".","",".",".",".","."
"Graduate","","94","3.325","14.9","2.1","12.8","2.1","1.1","",".","",".","60.6","",".",".",".","6.4","",".",".",".","."
"","Dept. Total","105","3.337","17.1","3.8","13.3","1.9","1.9","",".","",".","56.2","",".",".",".","5.7","",".",".",".","."
