"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","21","3.833","81.0","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","21","3.786","71.4","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101","003","","25","3.783","72.0","8.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","8.0","."
"","101","004","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","","Course Total","","80","3.808","75.0","11.3","7.5","3.8",".",".",".",".",".",".",".",".",".",".","2.5","."
"Biblical Hebrew-First Sem","103","001","","13","3.577","53.8","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","201","001","","17","3.441","47.1","29.4","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","201","002","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","","Course Total","","27","3.519","51.9","22.2","22.2",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211","001","","26","3.380","15.4","46.2","30.8","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","217","001","","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241","001","","19","3.278","21.1","21.1","42.1","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301","001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323","001","","12","3.455","25.0","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","8.3","."
"Bible in the Middle Ages","368","001","","6","3.600","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Topics-Jewish Civilization","371","001","","6","2.900","33.3","16.7",".",".","16.7","16.7",".","16.7",".",".",".",".",".",".",".","."
"Ancient Jewish Psych & Ethics","376","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401","001","","18","3.583","44.4","38.9","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Jewish Civ-Medvl Spain(Eng)","473","001","","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513","001","","6","3.000",".","16.7","50.0","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533","001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aramaic I","601","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Ezekiel","641","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Dead Sea Scrolls","954","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
