"CHICANA/O & LATINA/O STUDIE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","100
001","70","3.606","32.9","51.4","8.6",".","1.4",".",".","2.9",".","",".",".","",".","","2.9",".",".","."
"Topics in Chicano/a Studies","330
004","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Latino/as and Media","419
001","39","3.154","25.6","25.6","28.2","10.3","5.1","2.6","2.6",".",".","",".",".","",".","",".",".",".","."
"American West Since 1850","462
001","20","3.487","30.0","45.0","20.0",".","5.0",".",".",".",".","",".",".","",".","",".",".",".","."
"Indians & Spanish Borderlands","516
001","13","2.962","7.7","46.2","23.1","7.7","7.7",".","7.7",".",".","",".",".","",".","",".",".",".","."
"Working-Class Cultures","519
001","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Mem&Place-Chica/o&Latno/a Hist","630
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
002","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"CHICLA
228","Dept. Total","165","3.468","33.3","39.4","15.8","3.6","3.0","0.6","1.2","1.2","",".",".","",".","",".","1.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.310","9.5","42.9","28.6",".","4.8",".",".","4.8","",".",".","",".","",".","9.5",".",".","."
"Sophomore","","30","3.359","20.0","46.7","16.7","6.7","10.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","47","3.512","36.2","40.4","14.9","4.3",".",".","2.1","2.1","",".",".","",".","",".",".",".",".","."
"Senior","","59","3.518","42.4","37.3","11.9","3.4","1.7","1.7","1.7",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","157","3.456","31.8","40.8","15.9","3.8","3.2","0.6","1.3","1.3","",".",".","",".","",".","1.3",".",".","."
"Special","","3","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","5","4.000","80.0",".",".",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"","Dept. Total","165","3.468","33.3","39.4","15.8","3.6","3.0","0.6","1.2","1.2","",".",".","",".","",".","1.8",".",".","."
