"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","225","3.002","22.2","19.1","22.2","19.6","12.4","2.7","1.3","0.4",".","",".",".","",".","",".","",".",".","."
"","200
002","125","2.797","16.0","15.2","19.2","28.0","13.6","3.2","3.2","1.6",".","",".",".","",".","",".","",".",".","."
"International Business","Course Total","350","2.929","20.0","17.7","21.1","22.6","12.9","2.9","2.0","0.9","",".",".","",".","",".","",".",".",".","."
"Intro to Business French","313
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","365
001","9","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","365
002","23","3.717","43.5","56.5",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","Course Total","32","3.750","59.4","40.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Reading & Research-Intl Bus","399
222","66","3.962","97.0",".","1.5","1.5",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","420
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","420
002","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Global Marketing Strategy","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"Multinational Bus Finance","445
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","457","3.050","34.1","16.8","17.3","17.5","9.8","2.2","1.5","0.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","111","2.833","18.9","14.4","19.8","25.2","16.2","3.6","1.8",".","",".",".","",".","",".","",".",".",".","."
"Junior","","184","2.996","41.3","12.5","16.3","16.3","9.2","2.2","1.6","0.5","",".",".","",".","",".","",".",".",".","."
"Senior","","140","3.235","35.0","22.9","17.1","15.0","6.4","1.4","0.7","1.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","435","3.031","33.6","16.3","17.5","18.2","10.1","2.3","1.4","0.7","",".",".","",".","",".","",".",".",".","."
"Special","","19","3.342","47.4","21.1","15.8","5.3","5.3",".","5.3",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","457","3.050","34.1","16.8","17.3","17.5","9.8","2.2","1.5","0.7","",".",".","",".","",".","",".",".",".","."
