"Prgm Planning-Fam&Consmr Ed","428
001","","21","3.225","57.1",".","19.0","4.8","4.8",".","9.5",".","",".","",".",".","",".","","4.8",".",".","."
"Stdt Teach-Fam & Consumer Educ","430
001","","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Principles of Adult Education","515
001","","12","3.250","33.3","50.0",".",".",".","16.7",".",".","",".","",".",".","",".","",".",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"INTER-HE
498","Dept. Total","","92","3.349","42.4","27.2","8.7","5.4","4.3","6.5","3.3","",".","",".",".","",".","",".","2.2",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","2.625",".","50.0",".","25.0",".","25.0",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","6","2.500","33.3",".",".","33.3",".","33.3",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","37","3.189","40.5","27.0","13.5",".","8.1","5.4","5.4","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","42","3.598","50.0","28.6","7.1","4.8","2.4","2.4","2.4","",".","",".",".","",".","",".","2.4",".",".","."
"Undergraduates","","","89","3.341","42.7","27.0","9.0","5.6","4.5","6.7","3.4","",".","",".",".","",".","",".","1.1",".",".","."
"Special","","","2","3.500",".","50.0",".",".",".",".",".","",".","",".",".","",".","",".","50.0",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","92","3.349","42.4","27.2","8.7","5.4","4.3","6.5","3.3","",".","",".",".","",".","",".","2.2",".",".","."
