"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","154","3.611","70.1","2.6","13.6","2.6","5.2","1.9","0.6","2.6",".",".",".",".",".","0.6",".","."
"Intro-Mus Cult of the World","103
001","","38","3.000","23.7","13.2","36.8","7.9","10.5",".","5.3","2.6",".",".",".",".",".",".",".","."
"Opera","105
001","","78","3.568","69.2","6.4","10.3","1.3","1.3","2.6","3.8","5.1",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
001","","26","3.739","53.8","26.9","3.8","3.8",".",".",".","11.5",".",".",".",".",".",".",".","."
"","111
002","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","49","3.717","53.1","30.6","8.2","2.0",".",".",".","6.1",".",".",".",".",".",".",".","."
"Music in Performance","113
001","","497","3.986","90.3","1.8",".",".","0.2",".",".","7.6",".",".",".",".",".",".",".","."
"","121
001","","28","3.089","14.3","25.0","42.9","14.3",".",".","3.6",".",".",".",".",".",".",".",".","."
"","121
002","","36","3.111","16.7","30.6","27.8","19.4","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","","64","3.102","15.6","28.1","34.4","17.2","1.6",".","3.1",".",".",".",".",".",".",".",".","."
"","151
001","","30","3.552","56.7","13.3","13.3","6.7","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"","151
002","","27","3.596","59.3","14.8","11.1","3.7","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","","57","3.573","57.9","14.0","12.3","5.3","7.0",".",".","3.5",".",".",".",".",".",".",".","."
"","171
101","","14","3.179","14.3","14.3","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","","14","3.036","21.4","14.3","50.0","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","171
103","","12","3.125","16.7","41.7","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","171
104","","11","3.000","18.2","9.1","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".","."
"","171
105","","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","","64","3.148","18.8","23.4","42.2","12.5",".",".","3.1",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","","288","3.354","34.0","27.4","15.6","13.2","6.3","0.3",".","1.7",".",".",".",".",".",".","1.4","."
"Survey-Hist Western Music","211
001","","37","3.125","24.3","16.2","37.8","2.7","13.5","2.7",".","2.7",".",".",".",".",".",".",".","."
"","221
001","","19","3.368","31.6","42.1","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"","221
002","","21","3.429","23.8","47.6","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","","40","3.400","27.5","45.0","17.5","5.0","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
253","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","28","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","264
002","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","40","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","265
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 258 of 399",""
