"","999
021","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
065","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
066","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","5548","3.391","33.8","25.1","20.7","6.2","2.9","0.8","0.9","1.3","",".","7.1","0.3","0.5","0.2","0.1","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1785","3.396","30.2","27.8","23.4","6.2","2.2","0.4","0.7",".","",".","8.6","0.4",".",".","0.1","0.1","."
"Sophomore","","1108","3.346","30.5","29.5","21.8","8.7","3.4","0.6","0.8",".","",".","4.0","0.2",".",".","0.5",".","."
"Junior","","1012","3.310","35.0","23.3","23.4","7.6","4.8","1.3","1.5",".","",".","2.7","0.1",".",".",".","0.1","0.2"
"Senior","","1044","3.390","38.7","27.3","21.5","5.1","3.4","1.3","1.3","0.6","",".","0.6",".","0.1","0.2",".",".","."
"Undergraduates","","4949","3.364","33.0","27.2","22.6","6.8","3.3","0.8","1.0","0.1","",".","4.6","0.2","0.0","0.0","0.1","0.0","0.0"
"Special","","114","3.423","21.9","14.0","12.3","4.4","0.9",".","0.9","4.4","",".","36.8","3.5",".",".",".",".","0.9"
"Graduate","","485","3.890","44.5","6.4","2.5",".",".",".",".","12.4","",".","24.7",".","6.0","1.9",".","1.6","."
"","Dept. Total","5548","3.391","33.8","25.1","20.7","6.2","2.9","0.8","0.9","1.3","",".","7.1","0.3","0.5","0.2","0.1","0.2","0.1"
