"","999
063","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
071","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
086","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
089","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Ind Work-Applied Music","Course Total","38","3.929","78.9","7.9","2.6",".","",".","",".",".","",".","",".",".","",".","",".","5.3",".","5.3","."
"MUS PERF
664","Dept. Total","495","3.881","80.0","14.9","3.4","0.6","",".","",".","0.2","",".","",".",".","",".","",".","0.4",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","78","3.747","67.9","23.1","6.4","1.3","",".","",".","1.3","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","76","3.762","61.8","26.3","10.5","1.3","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","67","3.906","82.1","16.4","1.5",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","99","3.938","87.9","11.1","1.0",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","320","3.843","75.6","18.8","4.7","0.6","",".","",".","0.3","",".","",".",".","",".","",".",".",".",".","."
"Special","","16","3.968","93.8","6.3",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","159","3.931","87.4","8.2","1.3","0.6","",".","",".",".","",".","",".",".","",".","",".","1.3",".","1.3","."
"","Dept. Total","495","3.881","80.0","14.9","3.4","0.6","",".","",".","0.2","",".","",".",".","",".","",".","0.4",".","0.4","."
