"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
215","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","813
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
003","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
005","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
006","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
007","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
008","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
009","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
010","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","83","3.873","78.3","18.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","910
041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Gen Radiol Clerk-St Lukes","924
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RADIOL
832","Dept. Total","","99","3.889","79.8","17.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
