"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106
001","61","2.689","16.4","4.9","26.2","14.8","32.8","4.9",".",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113
001","224","3.435","29.0","39.7","23.7","4.0","2.7","0.4",".","0.4",".",".",".",".",".",".",".","."
"","120
001","38","2.855","23.7","15.8","10.5","18.4","26.3","5.3",".",".",".",".",".",".",".",".",".","."
"","002
120","37","3.122","18.9","29.7","24.3","10.8","16.2",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","75","2.987","21.3","22.7","17.3","14.7","21.3","2.7",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121
001","63","3.066","33.3","4.8","27.0","14.3","12.7","4.8",".","1.6",".",".",".",".",".",".",".","1.6"
"Principles-Envrnmtl Science","126
001","39","3.910","84.6","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127
001","20","2.550","15.0","5.0","20.0","25.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","199
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
033","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201
001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","11","3.045","27.3","9.1","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307
001","20","3.750","55.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","36","2.708","22.2","8.3","30.6","5.6","16.7","13.9","2.8",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324
002","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatic Environments-Past","331
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","339
001","44","3.116","27.3","20.5","25.0","6.8","15.9",".","2.3","2.3",".",".",".",".",".",".",".","."
"","339
002","21","3.071","19.0","23.8","14.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","65","3.102","24.6","21.5","21.5","16.9","12.3",".","1.5","1.5",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","19","3.268","36.8","15.8","15.8","10.5","5.3","5.3",".","10.5",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","32","3.531","46.9","28.1","18.8","3.1",".","3.1",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375
001","15","3.192","20.0","26.7","20.0","6.7","13.3",".",".","13.3",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","12","3.545","66.7","16.7",".",".",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"","400
002","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
003","16","3.188","6.3","43.8","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","400
004","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","26","3.712","73.1","11.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","400
006","13","3.833","69.2","15.4","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","400
007","20","3.324","40.0","25.0",".","10.0","5.0",".","5.0","15.0",".",".",".",".",".",".",".","."
"","400
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","Course Total","112","3.565","56.3","20.5","10.7","2.7","3.6",".","1.8","4.5",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Minerals - A Public Problem","410
001","12","3.083","25.0","8.3","41.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411
001","29","3.556","41.4","24.1","24.1","3.4",".",".",".","3.4",".",".",".",".","3.4",".",".","."
"Amer Environmental History","460
001","57","3.561","38.6","38.6","19.3","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 147 of 399",""
