"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Advanced Criminal Procedure","860
001","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","862
001","","61","0.000",".",".",".",".",".",".","1.6","95.1",".",".",".",".","3.3",".",".","."
"","862
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Institutionalized Persons","Course Total","","65","0.000",".",".",".",".",".",".","1.5","95.4",".",".",".",".","3.1",".",".","."
"Litigation in Criminl Cases","863
001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Substantive Crminal Law","865
001","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation III","867
001","","11","3.188","18.2","27.3","18.2",".",".","9.1",".","27.3",".",".",".",".",".",".",".","."
"International Trade Law","871
001","","42","3.439","33.3","7.1","35.7",".","2.4",".",".","16.7",".",".",".",".",".",".","4.8","."
"Immigration Law","873
001","","36","3.719","55.6","16.7","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","66","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
002","","21","3.694","52.4","14.3","19.0",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","904
003","","26","3.568","34.6","26.9","23.1",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","004
904","","16","3.423","43.8","18.8","12.5",".",".",".",".","12.5",".",".",".",".","6.3",".",".","."
"","904
005","","17","3.500","47.1","5.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","","80","3.557","43.8","17.5","25.0",".",".",".",".","11.3",".",".",".",".","1.3",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","","14","3.756","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Pro Responsblty Smr","907
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Psychiatry and Law","911
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
001","","12","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"","915
002","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","","21","3.889","38.1",".","4.8",".",".",".",".","47.6",".",".",".",".","9.5",".",".","."
"","918
001","","13","3.409","38.5","7.7","23.1","15.4",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"","918
002","","8","3.429","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Problems: Intl Law Seminar","Course Total","","21","3.417","52.4","4.8","14.3","9.5",".",".",".","4.8",".",".",".",".","4.8",".","4.8","."
"The Holocaust:Facts, Trials","919
001","","11","1.100","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Problems of Adm Law-Seminar","932
001","","12","3.583","83.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Profession","934
001","","18","3.656","50.0","16.7","22.2",".",".",".",".","5.6",".",".",".",".",".",".","5.6","."
"Health Law & Admin Seminar","935
001","","21","3.550","52.4","28.6","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","940
001","","17","1.941","35.3",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","","10","2.800","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","","6","3.600","50.0",".","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","940
005","","29","3.741","69.0","10.3","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","","24","3.583","50.0","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
009","","22","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","","21","3.000","42.9",".","4.8",".",".","9.5",".","33.3",".",".",".",".",".",".",".","."
"","940
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
013","","14","3.321","42.9","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 326 of 399",""
