"","999
002","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
062","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
088","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","7","3.750","28.6","71.4",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"M H R
236","Dept. Total","1359","3.340","38.8","19.7","27.0","3.5","7.3","1.0","1.3","1.3","",".",".","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","3.667","66.7",".","33.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","427","3.024","23.7","12.2","41.5","4.0","14.3","2.1","2.3",".","",".",".","",".","",".","",".",".",".","."
"Senior","","452","3.275","35.6","17.9","28.8","5.8","7.7","1.1","1.5","1.5","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","882","3.154","29.9","15.1","34.9","4.9","10.9","1.6","1.9","0.8","",".",".","",".","",".","",".",".",".","."
"Special","","63","3.492","34.9","38.1","17.5","4.8","3.2",".",".",".","",".",".","",".","",".","",".",".","1.6","."
"Graduate","","409","3.728","58.4","26.7","11.7",".","0.2",".","0.2","2.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","3.813","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","5","3.464","40.0","40.0",".","20.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1359","3.340","38.8","19.7","27.0","3.5","7.3","1.0","1.3","1.3","",".",".","",".","",".","",".",".","0.1","."
