"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"510
Veterinary Immunology","001","","75","3.267","20.0","32.0","34.7","8.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","76","3.211","31.6","18.4","25.0","10.5","14.5",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","75","3.620","48.0","33.3","13.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","76","3.533","35.5","39.5","22.4","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"518
Infctious Disease Pathobiol","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"559
Veterinary General Path","001","","75","3.353","24.0","33.3","34.7","5.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","001","","75","3.387","29.3","33.3","29.3","6.7",".",".","1.3",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","31","4.000","38.7",".",".",".",".",".",".","61.3",".",".",".",".",".",".",".","."
"675","001","","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"675","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.885","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Pathobiol Sci Rsch Rotation","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
