"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
001","248","2.911","17.3","17.7","26.2","16.1","19.0","2.8","0.8",".",".",".",".",".",".",".",".","."
"","002
350","55","3.019","21.8","18.2","29.1","7.3","18.2","3.6",".",".",".",".",".",".",".","1.8",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","303","2.930","18.2","17.8","26.7","14.5","18.8","3.0","0.7",".",".",".",".",".",".","0.3",".","."
"Operations Research I","410
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Transportation","444
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Business Logistics Analysis","640
001","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
001","40","3.500","10.0","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
002","34","3.647","44.1","41.2","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
003","36","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis&Decision Making","Course Total","110","3.586","30.9","55.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research I","710
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
001","26","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","744
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Manage Tech Change-Mfg Syst","758
001","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","38","3.868","76.3","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.883","78.7","19.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","22","3.929","81.8","13.6",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
093","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","5","***","","","","","","","","","","","","","","","",""
