"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"Communication Systems Lab I","438","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","","12","2.875","8.3","16.7","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"E&M Fields and Waves","440","001","","31","3.645","54.8","22.6","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","","19","3.421","31.6","31.6","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","12","2.958","16.7","16.7","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","19","3.395","47.4","5.3","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","22","3.818","77.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","491","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","511","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Image Processing","533","001","","18","3.412","22.2","44.4","22.2",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Optical Fiber Communication","535","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analg MOS Integrtd Cir Dsgn","541","001","","9","3.188","33.3","33.3","11.1",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"Integrated Circuit Design","548","001","","17","3.529","52.9","35.3","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","41","3.013","26.8","22.0","19.5","4.9","17.1","4.9","2.4",".",".",".",".",".",".","2.4",".","."
"","552","001","","31","3.645","58.1","32.3","6.5",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","552","002","","12","3.208","25.0","8.3","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","43","3.523","48.8","25.6","20.9",".","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553","001","","37","3.230","21.6","29.7","27.0","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","21","3.643","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","19","3.632","68.4",".","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","601","001","","65","3.469","30.8","50.8","9.2","4.6",".","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Spec Topics-Elec&Comptr Eng","602","001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","14","3.885","71.4",".","7.1",".",".",".",".","7.1",".",".",".",".","14.3",".",".","."
"Grad Cooperative Educ Program","702","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Solid State Power Conversn","712","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","713","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Electrmgntc Dsgn-AC Machins","","Course Total","","7","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Linear Systems","717","001","","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Waves&Instabilities-Plasmas","724","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 114 of 399",""
