"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"123
Plants, Parasites, & People","001","","45","3.193","20.0","24.4","35.6","8.9","8.9",".",".",".",".",".",".",".",".","2.2",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"300
Intro to Plant Pathology","001","","50","3.000","24.0","8.0","34.0","12.0","18.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","5","***","","","","","","","","","","","","","","","",""
"399
Coord Intrnshp/Cooprtv Educ","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Insects&Diseases-Forest Mgt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.813","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Plant Pathology Tchg","Course Total","","4","***","","","","","","","","","","","","","","","",""
"800
Inquiry-Based Biology Teaching","001","","18","3.971","83.3","5.6",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"801","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Biol: Special Topics","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"923
Seminar","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","002","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 37 of 399"
