"","999
065","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
087","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
096","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","Course Total","22","3.952","50.0","4.5",".",".",".",".","",".","45.5","",".",".","",".","",".","",".",".",".","."
"NURSING
692","Dept. Total","1730","3.856","66.9","16.5","3.1","0.3","0.1","0.1","",".","4.2","",".","8.8","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","35","3.900","80.0","20.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","77","3.923","90.9","2.6","2.6",".",".","1.3","",".",".","",".","2.6","",".","",".","",".",".",".","."
"Junior","","297","3.830","53.9","16.2","2.0","0.3","0.3",".","",".","2.0","",".","25.3","",".","",".","",".",".",".","."
"Senior","","939","3.864","69.5","18.1","2.9","0.1","0.1",".","",".","1.3","",".","8.0","",".","",".","",".",".",".","."
"Undergraduates","","1348","3.861","67.6","16.8","2.6","0.1","0.1","0.1","",".","1.3","",".","11.3","",".","",".","",".",".",".","."
"Special","","38","3.769","57.9","21.1","5.3","2.6",".",".","",".","7.9","",".",".","",".","",".","",".",".","5.3","."
"Graduate","","340","3.846","65.3","14.4","4.7","0.6",".",".","",".","15.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","4","3.864","75.0","25.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1730","3.856","66.9","16.5","3.1","0.3","0.1","0.1","",".","4.2","",".","8.8","",".","",".","",".",".","0.1","."
