"952
AHABS","","","","","","","","","","","","","","","","","","","","","","",""
"","990
085","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
086","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","55","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"AHABS
952","Dept. Total","183","3.382","39.3","10.4","13.7","2.2","1.6","1.6","",".","30.6","",".",".",".","",".","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.793","72.4","13.8","13.8",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","11","3.885","81.8","9.1","9.1",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","21","2.904","33.3","23.8","19.0","4.8","4.8","14.3","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","27","3.246","33.3","18.5","33.3","11.1","3.7",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","88","3.274","52.3","17.0","20.5","4.5","2.3","3.4","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","4","4.000","50.0",".",".",".",".",".","",".","25.0","",".",".",".","",".","",".",".","25.0","."
"Graduate","","85","3.582","25.9","4.7","7.1",".","1.2",".","",".","61.2","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","5","4.000","40.0",".",".",".",".",".","",".","60.0","",".",".",".","",".","",".",".",".","."
"Professionals","","6","3.571","33.3",".","16.7",".",".",".","",".","50.0","",".",".",".","",".","",".",".",".","."
"","Dept. Total","183","3.382","39.3","10.4","13.7","2.2","1.6","1.6","",".","30.6","",".",".",".","",".","",".",".","0.5","."
