"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Islam Wrld:MidEast,500-1500","205","001","32","3.359","31.3","28.1","37.5",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211","001","28","3.315","14.3","42.9","28.6","10.7",".",".",".","3.6",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","37","3.314","27.0","27.0","27.0","5.4","8.1",".",".","5.4",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","17","3.000","11.8","35.3","23.5","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","33","3.167","9.1","30.3","48.5","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261","001","24","3.167","20.8","25.0","29.2","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Religion-Hist&Culture: East","273","001","105","3.390","23.8","38.1","32.4","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Science, Medicine&Religion","331","001","10","3.450","50.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Christian Lit:Matthew-Revelatn","333","001","53","3.519","41.5","24.5","28.3","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","8","3.580","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","26","3.282","42.3","30.8","7.7","7.7",".",".","7.7","3.8",".",".",".",".",".",".",".","."
"Shamanism","352","001","31","3.650","38.7","48.4","9.7",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Hinduism","355","001","65","3.414","29.2","36.9","21.5","7.7","3.1",".",".","1.5",".",".",".",".",".",".",".","."
"Medieval Monasticism","366","001","9","3.485","33.3","55.6",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","62","3.500","41.9","29.0","21.0","4.8",".",".","1.6","1.6",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","8","2.688",".","37.5",".","25.0","37.5",".",".",".",".",".",".",".",".",".",".","."
"Ancient Jewish Psych & Ethics","376","001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Islam in Iran","379","001","11","2.955","9.1","36.4","36.4","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","400","001","12","3.359","8.3","33.3","33.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Am Relig Hist to Mid-19th c","451","001","12","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhist Thought","466","001","41","3.679","73.2","12.2","4.9",".",".",".","4.9","2.4",".",".",".",".","2.4",".",".","."
"Educ & Jewish Civilization","475","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art & Relig Prac-Medievl Japan","478","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","15","2.967","13.3","33.3","20.0","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","15","3.643","53.3","26.7",".","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"Yoga: Methods and Goals","623","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Research Colloquium for Majors","695","001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
