"","967
043","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
044","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Ped Pulmon/Allergy Clrk-CSC","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","","",""
"Research","990
070","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PEDIAT
708","Dept. Total","129","3.637","39.5","52.7","7.0","",".","",".","",".","",".","",".","0.8",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","3.875","75.0","25.0",".","",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Senior","","2","3.500","50.0",".","50.0","",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","6","3.750","66.7","16.7","16.7","",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","73","3.553","17.8","74.0","6.8","",".","",".","",".","",".","",".","1.4",".","",".","",".","",".",".",".","."
"Prof Yr 4","","49","3.804","67.3","26.5","6.1","",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Professionals","","122","3.630","37.7","54.9","6.6","",".","",".","",".","",".","",".","0.8",".","",".","",".","",".",".",".","."
"","Dept. Total","129","3.637","39.5","52.7","7.0","",".","",".","",".","",".","",".","0.8",".","",".","",".","",".",".",".","."
