"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","16","2.469","25.0","6.3","18.8","12.5","18.8",".","18.8",".",".",".",".",".",".",".",".","."
"","101
002","","19","3.028","31.6",".","36.8","5.3","15.8","5.3",".","5.3",".",".",".",".",".",".",".","."
"","101
003","","21","3.119","42.9","9.5","14.3","4.8","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"","101
004","","20","2.900","15.0","25.0","20.0","5.0","35.0",".",".",".",".",".",".",".",".",".",".","."
"","101
005","","20","3.425","45.0","20.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","96","3.011","32.3","12.5","20.8","8.3","19.8","2.1","3.1","1.0",".",".",".",".",".",".",".","."
"","201
001","","24","3.333","50.0","16.7","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","201
002","","24","3.354","45.8","16.7","16.7","4.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","48","3.344","47.9","16.7","16.7","2.1","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","17","3.781","64.7","23.5",".","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Portuguese Civilization","361
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Portug Lit pre 1825","411
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Portug: Study Abroad","599
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","","9","3.533","66.7",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Portuguese M.A. Proseminar","707
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","899
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
