"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Chem Process Thermodynamics","001","","28","3.214","21.4","39.3","14.3","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"250
Process Synthesis","001","","53","2.808","18.9","15.1","18.9","22.6","11.3","11.3",".",".",".",".",".",".",".","1.9",".","."
"311
Thermodynamics of Mixtures","001","","37","2.919","24.3","10.8","29.7","10.8","16.2","8.1",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","50","2.710","20.0","18.0","14.0","16.0","18.0","10.0","4.0",".",".",".",".",".",".",".",".","."
"324","002","","11","3.227","9.1","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"324","003","","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","11","3.000","9.1","9.1","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","35","3.200","14.3","22.9","51.4","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","27","2.889","18.5","14.8","29.6","14.8","14.8","7.4",".",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","44","2.920","25.0","9.1","29.5","2.3","31.8","2.3",".",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","40","2.888","22.5","10.0","25.0","17.5","22.5",".","2.5",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","40","3.288","20.0","40.0","27.5","7.5","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"470
Process Dynamics & Control","001","","32","2.875","18.8","18.8","28.1","6.3","18.8","9.4",".",".",".",".",".",".",".",".",".","."
"525","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"525","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Macromolecular Hydrodynamics","Course Total","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Polymer Sci & Technology","001","","51","2.745","9.8","19.6","21.6","23.5","17.6","7.8",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"562","001","","14","3.159","42.9","7.1","35.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"562","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"562","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","004","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","32","3.506","65.6","6.3","21.9",".","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","9","3.111","11.1","33.3","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"599","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","22","3.949","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intmed Problems in ChE","001","","24","3.542","41.7","33.3","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
