"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","61","3.008","14.8","26.2","26.2","24.6","3.3","3.3","1.6",".",".",".",".",".",".",".",".","."
"","101
002","67","2.992","14.9","22.4","34.3","11.9","10.4","3.0","1.5","1.5",".",".",".",".",".",".",".","."
"","101
003","67","2.846","14.9","11.9","31.3","11.9","25.4",".","1.5",".",".",".",".",".",".","3.0",".","."
"","101
004","56","3.098","10.7","30.4","33.9","17.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"","101
005","136","3.008","12.5","27.9","26.5","17.6","9.6","3.7",".",".",".",".",".",".",".",".","2.2","."
"","101
006","76","3.428","40.8","18.4","34.2","3.9","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","463","3.063","17.9","23.3","30.5","14.7","9.5","1.9","0.9","0.2",".",".",".",".",".","0.4","0.6","."
"Spec Topics:Philos-Freshmen","104
001","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","88","2.791","19.3","12.5","33.0","3.4","19.3","5.7","4.5","1.1",".",".",".",".",".",".","1.1","."
"","210
002","96","2.941","7.3","15.6","53.1","10.4","8.3","2.1","1.0","2.1",".",".",".",".",".",".",".","."
"","210
004","18","3.194","38.9","27.8","16.7",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","202","2.899","15.3","15.3","41.1","6.4","12.9","4.0","3.0","1.5",".",".",".",".",".",".","0.5","."
"","211
001","67","3.158","35.8","16.4","16.4","6.0","6.0","6.0","3.0","10.4",".",".",".",".",".",".",".","."
"","002
211","49","2.979","28.6","14.3","32.7","2.0","10.2","4.1","6.1","2.0",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","116","3.079","32.8","15.5","23.3","4.3","7.8","5.2","4.3","6.9",".",".",".",".",".",".",".","."
"","241
001","149","3.416","43.6","20.8","22.1","7.4","4.0","1.3","0.7",".",".",".",".",".",".",".",".","."
"","241
002","58","3.534","41.4","32.8","20.7","1.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","207","3.449","43.0","24.2","21.7","5.8","3.9","1.0","0.5",".",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","89","3.472","49.4","21.3","14.6","6.7","4.5","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","62","3.216","22.6","17.7","35.5","12.9","4.8",".",".","6.5",".",".",".",".",".",".",".","."
"","341
001","73","3.264","12.3","38.4","37.0","11.0",".",".",".","1.4",".",".",".",".",".",".",".","."
"","341
002","118","3.144","23.7","32.2","24.6","10.2","2.5","2.5","4.2",".",".",".",".",".",".",".",".","."
"","341
003","74","3.160","6.8","33.8","44.6","8.1","4.1",".",".","2.7",".",".",".",".",".",".",".","."
"","341
004","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
091","20","3.500","30.0","55.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","341
092","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","19","3.184","21.1","15.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","374","3.309","25.4","33.7","27.8","8.3","1.9","0.8","1.3","0.8",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","54","3.377","27.8","29.6","31.5","7.4","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","64","3.213","29.7","21.9","26.6","9.4","3.1","1.6","3.1",".",".",".",".",".","1.6","1.6","1.6","."
"Jewish Philos:Antiquity-17c","435
001","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","68","3.136","22.1","29.4","23.5","11.8","4.4","4.4","1.5","1.5",".",".",".",".",".",".","1.5","."
"Language and Meaning","516
001","18","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Phil of Lang","517
001","19","2.972","21.1","21.1","15.8","15.8","15.8","5.3",".","5.3",".",".",".",".",".",".",".","."
"Philos of Social Sciences","521
001","19","3.500","47.4","15.8","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","19","3.147","21.1","31.6","15.8","15.8",".",".","5.3",".",".",".",".",".",".","10.5",".","."
"Philos Concepts-Tch&Learng","545
001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","17","3.029","29.4","17.6","23.5","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Philosophy of Law","559
001","17","3.235","23.5","35.3","17.6","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Seminar","581
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 269 of 399",""
