"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","44","3.273","36.4","27.3","13.6","13.6","4.5","2.3","2.3",".",".",".",".",".",".",".",".","."
"","120
002","79","2.994","22.8","24.1","16.5","22.8","5.1","3.8","3.8","1.3",".",".",".",".",".",".",".","."
"","120
003","78","3.058","28.2","20.5","23.1","11.5","7.7","7.7","1.3",".",".",".",".",".",".",".",".","."
"Science of Food","Course Total","201","3.080","27.9","23.4","18.4","16.4","6.0","5.0","2.5","0.5",".",".",".",".",".",".",".","."
"Prof-Dietetics & Nutrition","200
001","60","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"Nature of Food","235
001","142","3.056","26.8","7.0","45.1","7.0","9.2","2.8","2.1",".",".",".",".",".",".",".",".","."
"","236
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Analysis of Food Products","310
001","32","3.344","21.9","37.5","28.1","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","73","2.815","12.3","9.6","39.7","16.4","17.8","2.7","1.4",".",".",".",".",".",".",".",".","."
"","375
001","16","3.567","50.0","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","375
002","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","24","3.582","54.2","12.5","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","4.2"
"Food Service Operations","437
001","67","3.597","40.3","40.3","17.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","438
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Engr","440
001","19","3.056","10.5","31.6","31.6","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3"
"Food Science Capstone","499
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Chem-Lab","512
001","18","3.735","50.0","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Food Processing I","530
001","26","3.100","26.9","11.5","38.5",".","15.4","3.8",".",".",".",".",".",".",".",".",".","3.8"
"Food & Phmaceut Separations","642
001","9","3.632","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","14","3.750","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Chem of the Food Lipids","710
001","9","3.643","33.3","33.3","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","799
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","3","***","","","","","","","","","","","","","","","",""
"Seminar Advanced","900
001","36","3.800","8.3","5.6",".",".",".",".",".","86.1",".",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 21 of 399"
