"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"270
001
Basketball II","18","3.188","22.2","27.8","27.8","5.6",".",".","5.6","11.1",".",".",".","",".","",".",".",".","."
"275
001
Volleyball II","30","3.560","46.7","16.7","6.7","10.0","3.3",".",".","16.7",".",".",".","",".","",".",".",".","."
"277
001
Kendo:Intgratn-Mrtl&Lib Art","21","3.684","52.4","28.6","4.8",".","4.8",".",".","4.8",".",".",".","",".","",".","4.8",".","."
"295
001
Bicycling","10","4.000","40.0",".",".",".",".",".",".","50.0",".",".",".","",".","",".","10.0",".","."
"300
001","23","3.529","47.8","13.0","4.3","4.3",".",".","4.3","26.1",".",".",".","",".","",".",".",".","."
"300
002","14","2.955","21.4","7.1","35.7",".","7.1",".","7.1","7.1","7.1",".",".","",".","","7.1",".",".","."
"Course Total
Workshop-Physical Activity","37","3.304","37.8","10.8","16.2","2.7","2.7",".","5.4","18.9","2.7",".","",".","",".","2.7",".",".","."
"303
001
Aquatic Conditioning","20","3.636","20.0","30.0","5.0",".",".",".",".","45.0",".",".",".","",".","",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","15","3.577","40.0","20.0","26.7",".",".",".",".","13.3",".",".",".","",".","",".",".",".","."
"310
001
Water Safety Instructor","17","3.464","52.9","5.9","17.6",".",".",".","5.9","17.6",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","13","3.300","7.7","38.5","23.1","7.7",".",".",".","23.1",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1843","3.303","34.6","18.7","13.0","3.3","4.9","1.5","1.0","21.4","0.3",".","",".","",".","0.1","0.3","0.8","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","226","2.926","30.5","13.7","20.4","10.2","15.0","5.3","0.9","3.1",".",".","",".","",".",".","0.4",".","0.4"
"Sophomore","327","3.210","35.8","20.8","18.7","4.9","8.3","1.8","0.9","7.6","0.3",".","",".","",".",".","0.6","0.3","."
"Junior","317","3.394","41.0","23.0","11.0","2.8","4.1","0.9","2.2","14.8",".",".","",".","",".",".",".",".","."
"Senior","726","3.518","37.7","20.7","10.9","1.2","1.7","0.8","0.8","25.1","0.4",".","",".","",".","0.3","0.4",".","."
"Undergraduates","1596","3.292","37.0","20.2","13.8","3.6","5.4","1.7","1.1","16.4","0.3",".","",".","",".","0.1","0.4","0.1","0.1"
"Special","109","3.292","9.2","8.3","9.2","2.8","2.8",".",".","55.0",".",".","",".","",".",".",".","12.8","."
"Graduate","116","3.521","22.4","9.5","6.0","0.9","0.9","0.9","0.9","57.8","0.9",".","",".","",".",".",".",".","."
"Prof Yr 2","3","4.000","33.3",".",".",".",".",".",".","66.7",".",".","",".","",".",".",".",".","."
"Prof Yr 3","15","3.708","46.7","20.0","13.3",".",".",".",".","20.0",".",".","",".","",".",".",".",".","."
"Prof Yr 4","4","4.000","75.0",".",".",".",".",".",".","25.0",".",".","",".","",".",".",".",".","."
"Professionals","22","3.781","50.0","13.6","9.1",".",".",".",".","27.3",".",".","",".","",".",".",".",".","."
"Dept. Total","1843","3.303","34.6","18.7","13.0","3.3","4.9","1.5","1.0","21.4","0.3",".","",".","",".","0.1","0.3","0.8","0.1"
