"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Engr Spatial Measurements","251","001","","51","3.373","39.2","25.5","17.6","9.8","5.9","2.0",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","35","2.939","20.0","20.0","17.1","14.3","17.1","5.7",".","2.9",".",".",".",".",".",".","2.9","."
"Elec-op&Micro Remote Sensng","302","001","","18","3.063","22.2","16.7","22.2","16.7","5.6","5.6",".","5.6",".",".",".",".",".",".","5.6","."
"Remote Sensng Digtl Image","303","001","","9","3.222","33.3","11.1","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmnt Comput-Land Inf Sys","307","001","","11","2.818","27.3","9.1","9.1","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"Spatl Framewk-Land Info Sys","308","001","","15","2.536","26.7","6.7","13.3",".","26.7","13.3","6.7",".",".",".",".",".",".","6.7",".","."
"Fluid Mechanics","310","001","","51","2.598","9.8","13.7","23.5","23.5","17.6","7.8","3.9",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","36","3.139","27.8","30.6","19.4","8.3","2.8","11.1",".",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","16","3.000","18.8","18.8","25.0","18.8","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","50","2.920","24.0","6.0","36.0","10.0","20.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","42","2.366","7.1","7.1","23.8","26.2","16.7","7.1","9.5","2.4",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","70","3.428","27.1","40.0","22.9","7.1","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","13","3.115","15.4","30.8","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","80","3.025","7.5","17.5","56.3","10.0","6.3","1.3",".","1.3",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","6","3.100","16.7","50.0",".",".",".","16.7",".","16.7",".",".",".",".",".",".",".","."
"Matrl-Constructd Facilities","395","001","","21","3.250","33.3","23.8","19.0","14.3",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426","001","","21","3.500","38.1","23.8","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","001","","12","3.591","41.7","25.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","33","3.152","18.2","21.2","42.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","45","3.089","17.8","17.8","46.7",".","17.8",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","36","3.764","66.7","19.4","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","28","3.804","64.3","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","14","3.731","50.0","35.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","498","002","","44","3.548","38.6","40.9","13.6",".",".",".","2.3",".",".",".",".",".","4.5",".",".","."
"Constructn Project Managmnt","","Course Total","","58","3.591","41.4","39.7","12.1",".",".",".","1.7","1.7",".",".",".",".","3.4",".",".","."
"Water Chemistry","500","001","","29","3.793","69.0","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","16","3.406","37.5","25.0","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Water Anal Intermediate Lab","503","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","15","3.667","46.7","33.3","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Foundations","532","001","","19","3.382","31.6","21.1","21.1","15.8",".",".",".","10.5",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","19","3.611","52.6","15.8","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","14","3.321","21.4","21.4","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Pavement Design","576","001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","57","3.807","78.9","12.3","5.3","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","596","002","","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 108 of 399",""
