"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Elementary Latin","103
001","112","3.009","30.4","24.1","13.4","9.8","10.7","3.6","6.3","1.8",".","",".",".","",".","",".","",".",".","."
"","203
001","23","3.457","65.2","4.3","13.0","8.7","4.3",".","4.3",".",".","",".",".","",".","",".","",".",".","."
"","203
002","11","3.136","54.5","9.1",".","18.2","9.1",".","9.1",".",".","",".",".","",".","",".","",".",".","."
"Intermediate Latin","Course Total","34","3.353","61.8","5.9","8.8","11.8","5.9",".","5.9",".","",".",".","",".","",".","",".",".",".","."
"Latin Lit of Roman Republic","301
001","14","3.571","50.0","28.6","14.3",".","7.1",".",".",".",".","",".",".","",".","",".","",".",".","."
"Roman Elegy","521
001","18","3.611","50.0","27.8","16.7","5.6",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Honors Thesis","681
007","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Graduate Survey","801
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","890
014","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"LATIN
524","Dept. Total","188","3.188","41.5","20.7","12.8","8.5","8.0","2.1","4.8","1.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.165","31.0","27.6","13.8","13.8","10.3",".","3.4",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","46","3.000","37.0","23.9","10.9","6.5","6.5","6.5","8.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.058","27.3","27.3","12.1","9.1","12.1",".","6.1","6.1","",".",".","",".","",".","",".",".",".","."
"Senior","","51","3.251","47.1","11.8","15.7","11.8","9.8","2.0","2.0",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","159","3.122","37.1","21.4","13.2","10.1","9.4","2.5","5.0","1.3","",".",".","",".","",".","",".",".",".","."
"Special","","4","2.750","50.0","25.0",".",".",".",".","25.0",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","25","3.803","68.0","16.0","12.0",".",".",".",".","4.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","188","3.188","41.5","20.7","12.8","8.5","8.0","2.1","4.8","1.6","",".",".","",".","",".","",".",".",".","."
