"LANG & CULTURES OF ASIA - LA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Fifth Semester Urdu","571","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thai Poetry","617","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read-Ottoman Turkish&Chagatay","644","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Readings in Hindi Language","653","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Readings in Urdu Language","671","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Readings in Sanskrit","675","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Readings in Tibetan","677","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"LCA LANG
522","","Dept. Total","","236","3.796","70.3","19.9","5.1","1.3",".","0.4","0.4","1.3",".",".",".",".","0.4",".",".","0.8"
