"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Varsity Band","42
001","282","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Language Diction-Singing","467
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
007","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
008","26","3.735","30.8","34.6",".",".",".",".",".","26.9",".",".",".",".",".","3.8","3.8","."
"Special Topics in Music","Course Total","55","3.914","65.5","18.2",".",".",".",".",".","12.7",".",".",".",".",".","1.8","1.8","."
"","499
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
24","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","14","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orchestration","524
001","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Jazz Improvisation","530
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","54
001","80","3.949","93.8",".","5.0",".",".",".",".",".",".",".",".",".",".","1.3",".","."
"","54
002","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","54
003","69","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","54
004","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","54
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","54
006","49","3.979","93.9","4.1",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Choirs","Course Total","299","3.981","97.0","1.0","1.3",".",".",".",".","0.3",".",".",".",".",".","0.3",".","."
"Adv Instrumental Pedagogy","540
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Choral Lit& Perf Prac-Today","541
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced String Pedagogy","544
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Percussion Literature","550
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting","553
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"University Opera","556
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","557
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Madrigal Singers","558
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prac Adv Studio Teach-Piano","560
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","562
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Woodwind","565
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","567
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","567
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","568
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","568
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 260 of 399",""
