"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","38","2.921","21.1","10.5","36.8","10.5","13.2","7.9",".",".",".",".",".",".",".",".",".","."
"","100
002","43","2.965","14.0","11.6","53.5",".","18.6","2.3",".",".",".",".",".",".",".",".",".","."
"","003
100","38","2.889","21.1","5.3","44.7",".","13.2","10.5",".","5.3",".",".",".",".",".",".",".","."
"","004
100","33","2.742","12.1","12.1","45.5","3.0","18.2","3.0","6.1",".",".",".",".",".",".",".",".","."
"","100
005","41","2.646","9.8","2.4","48.8","4.9","26.8","4.9","2.4",".",".",".",".",".",".",".",".","."
"","100
006","36","3.014","27.8","2.8","47.2",".","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","100
007","42","2.940","21.4","11.9","35.7","4.8","23.8",".","2.4",".",".",".",".",".",".",".",".","."
"","100
008","44","3.159","27.3","6.8","50.0","2.3","13.6",".",".",".",".",".",".",".",".",".",".","."
"","100
009","41","2.915","22.0","7.3","48.8",".","12.2","7.3","2.4",".",".",".",".",".",".",".",".","."
"","100
010","44","2.864","15.9","4.5","59.1","4.5","4.5","9.1","2.3",".",".",".",".",".",".",".",".","."
"","100
011","34","2.471","8.8",".","52.9",".","23.5","5.9","8.8",".",".",".",".",".",".",".",".","."
"","100
012","42","2.893","33.3","2.4","31.0","4.8","16.7","9.5","2.4",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","476","2.877","19.7","6.5","46.2","2.9","16.6","5.5","2.1","0.4",".",".",".",".",".",".",".","."
"","211
001","42","3.190","19.0","7.1","69.0","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","211
002","39","3.115","25.6","2.6","56.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","211
003","42","3.190","33.3","4.8","52.4",".","4.8","2.4","2.4",".",".",".",".",".",".",".",".","."
"","211
004","40","3.150","25.0","10.0","52.5",".","10.0","2.5",".",".",".",".",".",".",".",".",".","."
"","211
005","41","3.073","24.4","9.8","46.3",".","17.1","2.4",".",".",".",".",".",".",".",".",".","."
"","211
006","39","3.051","28.2",".","46.2","10.3","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"","211
007","36","3.114","16.7","5.6","66.7",".","8.3",".",".","2.8",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","279","3.128","24.7","5.7","55.6","1.8","10.0","1.4","0.4","0.4",".",".",".",".",".",".",".","."
"","300
001","43","3.024","23.3","23.3","16.3","18.6","7.0","4.7","2.3","4.7",".",".",".",".",".",".",".","."
"","300
002","43","2.953","25.6","20.9","18.6","16.3","9.3","4.7","4.7",".",".",".",".",".",".",".",".","."
"","300
003","46","3.000","28.3","19.6","17.4","10.9","17.4","4.3","2.2",".",".",".",".",".",".",".",".","."
"","300
004","41","2.938","17.1","12.2","31.7","19.5","14.6","2.4",".","2.4",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","173","2.979","23.7","19.1","20.8","16.2","12.1","4.0","2.3","1.7",".",".",".",".",".",".",".","."
"","301
001","47","3.340","34.0","29.8","19.1","8.5","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"","301
002","43","3.256","23.3","39.5","18.6","7.0","9.3","2.3",".",".",".",".",".",".",".",".",".","."
"","003
301","49","2.969","20.4","12.2","30.6","22.4","12.2",".","2.0",".",".",".",".",".",".",".",".","."
"","301
004","39","3.295","30.8","28.2","23.1","5.1","12.8",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","178","3.208","27.0","27.0","23.0","11.2","10.1","1.1","0.6",".",".",".",".",".",".",".",".","."
"","302
001","42","3.286","28.6","21.4","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","302
002","31","3.371","22.6","29.0","48.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","73","3.322","26.0","24.7","41.1","4.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"","310
001","29","3.190","13.8","27.6","44.8","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","310
002","40","3.250","22.5","12.5","57.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","69","3.225","18.8","18.8","52.2","8.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","33","2.875","30.3","18.2","12.1","12.1","9.1","9.1","6.1","3.0",".",".",".",".",".",".",".","."
"","340
001","36","3.292","25.0","16.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","34","3.309","20.6","26.5","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","35","3.229","22.9","14.3","51.4","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","340
004","26","3.346","30.8","11.5","53.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","131","3.290","24.4","17.6","50.4","6.9","0.8",".",".",".",".",".",".",".",".",".",".","."
"","406
001","30","3.033","20.0",".","63.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 51 of 399"
