"","991
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","40","",".",".",".",".",".",".",".","82.5","2.5",".",".","15.0",".",".",".","."
"Independent Study-Nutrition","993
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NUTR SCI
694","Dept. Total","1773","2.824","16.0","15.0","20.6","13.1","19.4","3.8","1.2","4.3","0.1","5.9","0.1","0.4","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","668","2.682","12.1","12.6","21.7","15.0","26.9","4.8","1.5",".",".","5.2",".",".",".","0.1",".","."
"Sophomore","","407","2.812","15.0","17.2","19.2","15.2","18.7","4.9","1.5","0.2",".","7.9",".",".","0.2",".",".","."
"Junior","","198","2.919","18.7","11.6","23.2","14.6","17.7","1.5","1.0","0.5",".","10.6","0.5",".",".",".",".","."
"Senior","","340","2.970","19.4","20.9","21.2","10.6","15.0","3.8","1.2","3.8",".","3.8",".","0.3",".",".",".","."
"Undergraduates","","1613","2.804","15.2","15.4","21.1","14.1","21.2","4.2","1.4","0.9",".","6.3","0.1","0.1","0.1","0.1",".","."
"Special","","21","3.000","14.3","9.5","42.9","19.0","4.8",".",".",".",".","9.5",".",".",".",".",".","."
"Graduate","","128","3.611","26.6","9.4","7.8","0.8","0.8",".",".","48.4","0.8","0.8",".","4.7",".",".",".","."
"Prof Yr 1","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1773","2.824","16.0","15.0","20.6","13.1","19.4","3.8","1.2","4.3","0.1","5.9","0.1","0.4","0.1","0.1",".","."
