"","991
004","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","991
009","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","991
010","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"Linguistc&Germanic Philolgy","Course Total","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7","",".",".",".","."
"GERMAN
424","Dept. Total","921","3.528","49.7","21.5","17.5","2.8","2.2","1.2","0.5","3.9","0.1","0.1",".","0.3","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","267","3.477","42.7","27.3","23.6","1.9","2.6","1.1","0.7",".",".",".",".",".","",".",".",".","."
"Sophomore","","166","3.526","49.4","23.5","17.5","6.0","0.6","1.2","0.6","0.6",".",".",".",".","",".",".","0.6","."
"Junior","","136","3.498","43.4","26.5","21.3","2.9","3.7","0.7",".","0.7","0.7",".",".",".","",".",".",".","."
"Senior","","162","3.418","48.8","17.3","20.4","3.1","4.3","2.5","0.6","2.5",".","0.6",".",".","",".",".",".","."
"Undergraduates","","731","3.480","45.7","24.1","21.1","3.3","2.7","1.4","0.5","0.8","0.1","0.1",".",".","",".",".","0.1","."
"Special","","10","2.797","20.0","40.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".","",".",".",".","."
"Graduate","","180","3.879","67.8","10.0","3.3","0.6",".",".",".","16.7",".",".",".","1.7","",".",".",".","."
"","Dept. Total","921","3.528","49.7","21.5","17.5","2.8","2.2","1.2","0.5","3.9","0.1","0.1",".","0.3","",".",".","0.1","."
