"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"577
Introduction to Algorithms","001","","26","3.040","23.1","19.2","19.2","19.2","11.5","3.8",".",".",".",".",".",".",".","3.8",".","."
"640
Intro to Computer Networks","001","","23","3.348","30.4","34.8","13.0","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"701
Construction of Compilers","001","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Analysis of Software Artifacts","001","","12","3.750","58.3","8.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"712
Finite Difference Methods","001","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"730
Nonlinear Progm Algorithms","001","","20","3.632","40.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"736
Advanced Operating Systems","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Computer System Performance","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Advanced Computer Networks","001","","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
VLSI Systems Design","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"766
Computer Vision","001","","20","3.763","50.0","45.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"784
Data Models and Languages","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 187 of 399",""
