"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","202","3.117","23.8","18.8","31.2","14.4","8.4","3.0",".","0.5",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","55","3.364","29.1","30.9","27.3","9.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Finance","410
001","55","3.722","58.2","25.5","14.5",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","48","3.606","47.9","25.0","22.9","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","89","3.421","19.1","57.3","13.5","9.0","1.1",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","44","3.602","54.5","29.5","6.8","4.5","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","21","3.500","33.3","38.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","20","3.400","35.0","30.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","17","3.441","35.3","35.3","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
116","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
142","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","",""
"Readng&Rsch-Real Estate PhD","999
151","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","593","3.391","34.4","29.5","21.4","8.4","3.9","1.2",".","1.2",".",".",".",".",".",".",".","."
