"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2278","3.174","28.3","22.3","20.9","10.4","6.6","2.2","1.1","5.3","0.2","0.0","",".","2.2","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","2.816","17.6","35.3","5.9","29.4",".","5.9","5.9",".",".",".","",".",".",".",".",".","."
"Sophomore","","184","3.011","20.7","27.7","25.5","11.4","9.2","3.8","1.6",".",".",".","",".",".",".",".",".","."
"Junior","","556","3.021","23.2","23.6","25.2","14.0","9.4","2.9","1.8",".",".",".","",".",".",".",".",".","."
"Senior","","970","3.109","24.8","24.7","25.6","12.6","7.8","2.6","1.1","0.3","0.1",".","",".",".","0.1","0.1","0.1","."
"Undergraduates","","1727","3.070","23.8","24.8","25.2","13.1","8.4","2.8","1.4","0.2","0.1",".","",".",".","0.1","0.1","0.1","."
"Special","","44","3.292","36.4","18.2","11.4","4.5","6.8","4.5",".","4.5",".",".","",".",".","11.4",".","2.3","."
"Graduate","","507","3.703","42.8","14.0","7.1","1.6","0.4",".",".","22.7","0.6","0.2","",".","9.9","0.2","0.4","0.2","."
"","Dept. Total","2278","3.174","28.3","22.3","20.9","10.4","6.6","2.2","1.1","5.3","0.2","0.0","",".","2.2","0.3","0.1","0.1","."
