"","999
045","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
058","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
061","4","***","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","9","3.725","77.8","11.1",".",".","11.1",".",".",".",".",".","",".",".",".",".",".","."
"CIV ENGR
240","Dept. Total","1327","3.336","35.9","18.0","19.4","6.3","4.7","1.8","0.8","9.6","0.2",".","",".","2.6","0.2","0.1","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.000",".",".",".",".","100.0",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","22","3.046","22.7","22.7","27.3","18.2","4.5","4.5",".",".",".",".","",".",".",".",".",".","."
"Junior","","196","3.189","29.1","24.5","21.9","8.2","9.2","3.1","2.6","0.5",".",".","",".",".","0.5",".","0.5","."
"Senior","","664","3.277","34.6","20.6","26.4","8.1","5.7","2.4","0.8","0.9",".",".","",".",".","0.2","0.2","0.2","."
"Undergraduates","","883","3.252","33.1","21.5","25.4","8.4","6.6","2.6","1.1","0.8",".",".","",".",".","0.2","0.1","0.2","."
"Special","","31","3.340","41.9","6.5","16.1",".","6.5","3.2",".","22.6",".",".","",".","3.2",".",".",".","."
"Graduate","","413","3.692","41.6","11.4","7.0","2.2","0.5",".",".","27.6","0.5",".","",".","8.2","0.2",".","0.5","0.2"
"","Dept. Total","1327","3.336","35.9","18.0","19.4","6.3","4.7","1.8","0.8","9.6","0.2",".","",".","2.6","0.2","0.1","0.3","0.1"
