"","999
085","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
122","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
136","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","2143","3.217","30.0","16.3","37.4","4.9","7.8","2.0","0.8","0.8","",".",".","",".","",".","",".",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","345","2.868","20.3","5.5","47.8","2.9","15.4","4.9","3.2",".","",".",".","",".","",".","",".",".",".","."
"Junior","","619","3.166","26.8","15.3","38.9","8.2","8.1","2.1","0.5",".","",".",".","",".","",".","",".",".",".","."
"Senior","","673","3.185","25.4","16.0","42.3","5.6","8.2","1.3","0.4","0.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1638","3.111","24.8","13.6","42.2","6.1","9.6","2.4","1.0","0.2","",".",".","",".","",".","",".",".",".","."
"Special","","48","2.732","4.2","14.6","39.6","6.3","12.5","6.3","2.1","14.6","",".",".","",".","",".","",".",".",".","."
"Graduate","","452","3.644","50.9","26.5","19.9","0.2","0.9",".",".","1.3","",".",".","",".","",".","",".",".","0.2","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","5","3.700","60.0","20.0","20.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","2143","3.217","30.0","16.3","37.4","4.9","7.8","2.0","0.8","0.8","",".",".","",".","",".","",".",".","0.0","."
