"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Intro-Theory of Probability","","Course Total","","71","2.699","22.5","9.9","23.9","8.5","15.5","9.9","5.6","1.4",".",".",".",".","1.4","1.4",".","."
"Introduction to Cryptography","435","001","","8","2.438",".","25.0","25.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","13","2.731","30.8","7.7","15.4","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","21","3.310","33.3","28.6","19.0","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","001","","29","3.071","24.1","17.2","31.0","17.2",".","3.4","3.4",".",".",".",".",".",".","3.4",".","."
"","475","002","","8","2.500","37.5",".","12.5",".","25.0","12.5","12.5",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","","Course Total","","37","2.944","27.0","13.5","27.0","13.5","5.4","5.4","5.4",".",".",".",".",".",".","2.7",".","."
"Topics in Undergrad Math","491","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","521","001","","17","2.382","5.9",".","35.3","5.9","47.1",".","5.9",".",".",".",".",".",".",".",".","."
"","521","002","","16","3.000","12.5","31.3","12.5","31.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","521","003","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","521","004","","15","3.286","20.0","40.0","20.0",".","13.3",".",".",".",".",".",".",".",".","6.7",".","."
"Advanced Calculus","","Course Total","","55","2.926","14.5","23.6","23.6","12.7","21.8",".","1.8",".",".",".",".",".",".","1.8",".","."
"Linear Programming Methods","525","001","","8","2.250",".",".","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".","."
"","541","001","","33","3.288","54.5","3.0","18.2","6.1","15.2",".","3.0",".",".",".",".",".",".",".",".","."
"","541","002","","17","2.382","11.8","17.6","29.4",".","11.8","17.6","11.8",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","50","2.980","40.0","8.0","22.0","4.0","14.0","6.0","6.0",".",".",".",".",".",".",".",".","."
"","551","001","","31","2.833","25.8","19.4","9.7","19.4","9.7","6.5","6.5","3.2",".",".",".",".",".",".",".","."
"","551","002","","12","3.417","50.0","33.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Elementary Topology","","Course Total","","43","3.000","32.6","23.3","9.3","14.0","7.0","4.7","7.0","2.3",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","28","2.808","28.6","10.7","14.3","17.9","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".","."
"Complex Analysis","623","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","13","3.375","53.8","7.7","23.1",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"Queuing Thry & Stochas Model","633","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","12","3.773","50.0","41.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Mathematical Fluid Dynamics","705","001","","21","3.842","71.4","9.5","9.5",".",".",".",".","4.8",".",".",".",".",".",".","4.8","."
"Finite Difference Methods","712","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ordinary Differntl Equatns","716","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","31","3.484","48.4","25.8","16.1","6.5",".",".","3.2",".",".",".",".",".",".",".",".","."
"Stochastic Analysis","735","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","29","3.293","48.3","13.8","20.7","3.4","3.4","10.3",".",".",".",".",".",".",".",".",".","."
"Lie Algebras","747","001","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytic Number Theory","749","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Homological Algebra","750","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","22","3.432","40.9","27.3","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","11","3.545","81.8",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 250 of 399",""
