"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"803","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","015","","15","3.898","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","53","3.944","77.4","1.9","1.9",".",".",".",".","17.0",".",".",".","1.9",".",".",".","."
"890","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","28","",".",".",".",".",".",".",".","53.6",".",".",".","46.4",".",".",".","."
"900
Seminar","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
