"","996
015","4","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","996
025","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","996
041","5","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research-Plant Physiology","Course Total","11","",".",".",".",".",".",".",".","90.9","",".",".",".","9.1","",".",".",".","."
"BOTANY
208","Dept. Total","730","3.074","29.5","11.5","29.2","6.2","12.9","2.1","1.5","6.4","",".",".",".","0.4","",".","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","2.721","15.4","15.4","27.7","15.4","16.9","4.6","4.6",".","",".",".",".",".","",".",".",".","."
"Sophomore","","167","2.990","21.6","13.2","37.7","6.0","17.4","3.0","1.2",".","",".",".",".",".","",".",".",".","."
"Junior","","200","3.030","27.0","13.5","34.0","5.5","15.0","2.0","2.0",".","",".",".",".","0.5","",".","0.5",".","."
"Senior","","183","3.157","34.4","12.0","29.5","7.7","13.1","1.1","1.1","0.5","",".",".",".","0.5","",".",".",".","."
"Undergraduates","","615","3.023","26.5","13.2","33.0","7.3","15.3","2.3","1.8","0.2","",".",".",".","0.3","",".","0.2",".","."
"Special","","14","3.462","35.7","14.3","14.3",".",".","7.1",".","21.4","",".",".",".",".","",".","7.1",".","."
"Graduate","","101","3.784","46.5","1.0","7.9",".",".",".",".","42.6","",".",".",".","1.0","",".",".","1.0","."
"","Dept. Total","730","3.074","29.5","11.5","29.2","6.2","12.9","2.1","1.5","6.4","",".",".",".","0.4","",".","0.3","0.1","."
