"","990
020","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
022","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
023","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","42","",".",".",".",".",".",".","",".","97.6","",".",".",".","2.4","",".",".",".","."
"M M & I
620","Dept. Total","712","3.451","41.2","13.9","23.0","5.2","2.9","0.7","",".","12.9","",".",".",".","0.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","3.444","60.0","10.0","10.0","10.0","10.0",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","102","3.398","51.0","13.7","21.6","4.9","4.9","3.9","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","288","3.462","49.0","13.5","25.7","5.9","4.2","0.3","",".","1.4","",".",".",".",".","",".",".",".","."
"Undergraduates","","400","3.445","49.8","13.5","24.3","5.8","4.5","1.3","",".","1.0","",".",".",".",".","",".",".",".","."
"Special","","16","3.550","75.0",".","6.3","12.5","6.3",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","135","3.487","15.6","6.7","12.6",".",".",".","",".","64.4","",".",".",".","0.7","",".",".",".","."
"Prof Yr 1","","5","3.000",".","20.0","60.0","20.0",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","148","3.467","39.9","23.6","27.7","7.4","1.4",".","",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","7","3.167","14.3",".","71.4",".",".",".","",".","14.3","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","161","3.448","37.9","22.4","30.4","7.5","1.2",".","",".","0.6","",".",".",".",".","",".",".",".","."
"","Dept. Total","712","3.451","41.2","13.9","23.0","5.2","2.9","0.7","",".","12.9","",".",".",".","0.1","",".",".",".","."
