"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"Vet Diag&Therapeut Techniq","625
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","","82","2.835","8.5","13.4","43.9","9.8","22.0","2.4",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","","81","2.796","6.2","6.2","49.4","17.3","21.0",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","","19","4.000","78.9",".",".",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","","13","4.000","61.5",".",".",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","","20","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","670
001","","34","4.000","2.9",".",".",".",".",".",".","97.1",".",".",".",".",".",".",".","."
"","670
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","35","4.000","2.9",".",".",".",".",".",".","97.1",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","","31","4.000","48.4",".",".",".",".",".",".","51.6",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","","26","4.000","42.3",".",".",".",".",".",".","57.7",".",".",".",".",".",".",".","."
"","675
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
002","","22","4.000","27.3",".",".",".",".",".",".","72.7",".",".",".",".",".",".",".","."
"","675
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
005","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
024","","10","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","675
026","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","84","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","678
001","","39","4.000","61.5",".",".",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"","678
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","41","4.000","61.0",".",".",".",".",".",".","39.0",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","","9","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"Production Medicine I","701
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Medicine II","703
001","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","775
001","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
