"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"","362","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","006","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","","Course Total","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363","001","","20","3.546","25.0","65.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Fundamentals of Directing","368","001","","28","3.365","25.0","39.3","25.0",".",".",".","3.6","7.1",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370","001","","7","1.974",".","14.3","28.6",".",".","28.6","14.3",".",".",".",".",".","14.3",".",".","."
"Sound for Theatre","371","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372","001","","15","3.433","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Management","379","001","","15","3.464","33.3","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7"
"Holocaust Theme-West Drama","410","001","","21","3.167","42.9","4.8","28.6","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424","001","","8","3.188","37.5","37.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Modern Indian Theatre","429","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama of Europe: 1650-1850","521","001","","10","3.200","30.0","40.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","32","3.886","81.3","15.6",".","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","619","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","002","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study-Theatre Dsgn&Tech","670","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","7","3.958","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","14","3.975","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Intro Rsch-Theatre","700","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Theatre Hist-1700-Pres","732","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaboratv Design&Tech Studio","970","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 311 of 399",""
