"","990
027","4","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
031","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","56","",".",".",".",".",".",".",".","71.4","",".",".",".","28.6","",".",".",".","."
"GEOLOGY
420","Dept. Total","1739","3.021","21.2","21.8","22.1","10.2","10.6","4.1","1.0","7.4","",".","0.1",".","0.9","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","183","2.806","18.6","12.0","26.2","12.6","21.9","7.7","1.1",".","",".",".",".",".","",".",".",".","."
"Sophomore","","343","2.904","17.8","22.7","25.1","12.0","15.5","5.0","1.7",".","",".",".",".",".","",".",".","0.3","."
"Junior","","417","3.021","20.1","25.4","27.1","11.5","9.4","4.1","1.0","0.7","",".",".",".",".","",".",".","0.7","."
"Senior","","554","3.080","21.5","26.5","23.6","11.0","8.8","3.8","0.9","3.2","",".","0.2",".",".","",".",".","0.4","."
"Undergraduates","","1497","2.978","19.9","23.6","25.3","11.6","12.1","4.6","1.1","1.4","",".","0.1",".",".","",".",".","0.4","."
"Special","","19","3.098","31.6","5.3","15.8","21.1",".","5.3",".","5.3","",".",".",".",".","",".",".","15.8","."
"Graduate","","223","3.701","29.1","11.2","1.8","0.4","1.8","0.4",".","48.0","",".",".",".","7.2","",".",".",".","."
"","Dept. Total","1739","3.021","21.2","21.8","22.1","10.2","10.6","4.1","1.0","7.4","",".","0.1",".","0.9","",".",".","0.5","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 211 of 399",""
