"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"560
Communication Theory","001","","9","3.250","33.3",".","33.3","22.2",".",".",".",".",".",".",".",".",".","11.1",".","."
"565
Communictn&Interethnc Behav","001","","37","3.333","29.7","27.0","21.6","16.2","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"571
Contemporary Rhetorical Theory","001","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"572
Interpersonal Communication","001","","24","3.391","37.5","29.2","20.8","4.2",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"610
Topics-Rhetoric&Pub Address","001","","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"612
Topics-Communicatn Science","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","002","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","003","","35","3.229","28.6","28.6","20.0","5.7","17.1",".",".",".",".",".",".",".",".",".",".","."
"613","004","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","74","3.453","39.2","31.1","18.9","2.7","8.1",".",".",".",".",".",".",".",".",".",".","."
"614","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".","8.3","."
"616
Mass Media and Youth","001","","12","3.333","41.7","25.0","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"651
Adv Video Productn&Directn","001","","18","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"656","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"656","002","","11","3.364","9.1","72.7","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Adv Motion Picture Productn","Course Total","","22","3.500","27.3","54.5","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"658
Writing for TV & Film","001","","15","3.533","26.7","60.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"662
Media and Cultural Theory I","001","","16","3.563","56.3","25.0","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"664
Classical Film Theory","001","","32","3.266","25.0","37.5","12.5","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"665
Contemporary Film Theory","001","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"667
Hist of Amer Public Address","001","","12","3.591","50.0","8.3","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"675
Rhetoric-Women's Social&Polit","001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
