"CONSUMER SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275","001","100","3.205","22.0","38.0","18.0","11.0","8.0","2.0","1.0",".",".",".",".",".",".",".",".","."
"Independent Study","299","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","43","3.837","67.4","32.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","55","3.864","85.5","3.6","9.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","370","001","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","002","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","","Course Total","26","3.769","65.4","23.1","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","001","32","3.078","18.8","34.4","25.0","12.5","3.1",".","6.3",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","31","3.113","25.8","16.1","19.4","32.3","6.5",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","32","3.172","25.0","21.9","18.8","31.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","33","3.879","87.9","3.0","6.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","54","3.935","88.9","9.3","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560","001","28","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564","001","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575","001","33","3.106","21.2","39.4","15.2","12.1","3.0","6.1","3.0",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","9","3.946","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","24","3.354","29.2","29.2","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","657","001","35","3.486","60.0","14.3","14.3","2.9",".","8.6",".",".",".",".",".",".",".",".",".","."
"","657","002","34","3.485","55.9","14.7","17.6","5.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Consumer Behavior","","Course Total","69","3.486","58.0","14.5","15.9","4.3","1.4","4.3","1.4",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","20","3.250","5.0","55.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","34","3.980","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Fam Economic Policy","930","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","13","",".",".",".",".",".",".",".","76.9",".",".",".","15.4",".","7.7",".","."
"","999","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
