"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"618
Advanced Artists' Video","001","","6","3.167","66.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"622","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","Course Total","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"624
Advanced Ceramics II","001","","6","3.821","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"644
Advanced Art Metal II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Adv Concpt&Meth-Figuratn II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Design Portfolio & Prof Pract","001","","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","10","3.885","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","067","","16","3.929","87.5",".",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"699","069","","6","3.813","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","82","3.834","90.2","1.2","3.7","1.2",".",".","2.4",".",".",".",".",".","1.2",".",".","."
"722
Graduate Painting I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"726
Grad Intaglio Printmaking I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"908","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"908","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"908","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"908","005","","24","3.739","58.3","25.0","12.5",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Seminar-Art","Course Total","","34","3.788","64.7","23.5","8.8",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"912","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"912","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Drawing","Course Total","","2","***","","","","","","","","","","","","","","","",""
"914","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
