"L&S","","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","1788","3.152","32.9","19.4","21.7","7.7","9.3","3.9","2.3","2.3","",".","0.2","",".","0.1","",".","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","45","3.110","33.3","15.6","15.6","20.0","13.3",".","2.2",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","317","2.989","22.7","23.0","24.0","9.5","12.9","5.7","1.9",".","",".",".","",".",".","",".","0.3",".","."
"Junior","","542","2.947","28.2","16.6","23.8","9.0","12.2","6.3","3.9",".","",".",".","",".",".","",".",".",".","."
"Senior","","431","3.066","30.2","16.7","25.1","10.4","10.7","3.9","2.8","0.2","",".",".","",".",".","",".",".",".","."
"Undergraduates","","1335","3.001","27.7","18.1","24.0","10.0","11.9","5.2","3.0","0.1","",".",".","",".",".","",".","0.1",".","."
"Special","","21","3.446","47.6","9.5","28.6",".","9.5",".",".","4.8","",".",".","",".",".","",".",".",".","."
"Graduate","","427","3.621","48.7","23.4","14.5","1.2","1.4","0.2","0.5","9.1","",".","0.7","",".","0.2","",".",".",".","."
"Prof Yr 3","","3","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".",".","",".",".","",".","50.0","",".",".","50.0","."
"Professionals","","5","3.667","20.0","40.0",".",".",".",".",".",".","",".",".","",".","20.0","",".",".","20.0","."
"","Dept. Total","1788","3.152","32.9","19.4","21.7","7.7","9.3","3.9","2.3","2.3","",".","0.2","",".","0.1","",".","0.1","0.1","."
