"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research and Thesis","42","",".",".",".",".",".","",".",".","97.6","",".",".",".","2.4","",".",".",".","."
"NEUROSCI
Dept. Total
682","263","3.649","44.1","10.3","5.7","0.8","1.5","",".","0.4","31.6","",".","4.9",".","0.8","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","22","3.218","45.5","9.1","22.7","4.5","18.2","",".",".",".","",".",".",".",".","",".",".",".","."
"Senior","106","3.800","79.2","15.1","2.8",".",".","",".","0.9","0.9","",".",".",".","0.9","",".",".",".","."
"Undergraduates","129","3.674","72.9","14.0","7.0","0.8","3.1","",".","0.8","0.8","",".",".",".","0.8","",".",".",".","."
"Special","4","3.250",".","75.0",".","25.0",".","",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","117","3.591","17.1","5.1","5.1",".",".","",".",".","62.4","",".","10.3",".",".","",".",".",".","."
"Prof Yr 3","10","4.000","20.0",".",".",".",".","",".",".","60.0","",".","10.0",".","10.0","",".",".",".","."
"Prof Yr 4","3","",".",".",".",".",".","",".",".","100.0","",".",".",".",".","",".",".",".","."
"Professionals","13","4.000","15.4",".",".",".",".","",".",".","69.2","",".","7.7",".","7.7","",".",".",".","."
"Dept. Total","263","3.649","44.1","10.3","5.7","0.8","1.5","",".","0.4","31.6","",".","4.9",".","0.8","",".",".",".","."
