"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"730
Probability&Stochastic Proc","001","","21","3.167","14.3","47.6","19.0","14.3",".",".","4.8",".",".",".",".",".",".",".",".","."
"732
Adv Digital Signal Procesng","001","","27","3.444","40.7","22.2","33.3",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"740
Electromagnetic Theory","001","","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
Solid State Electronics","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Quantum Electronics","001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"748
Linear Waves","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","15","3.233","13.3","40.0","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"753
Fault-Tolerant Computing","001","","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"755
VLSI Systems Design","001","","12","3.350","25.0","33.3","8.3","8.3","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"777
Nonlin Dyn,Bifurcatn,Chaos","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","218","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","266","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","59","",".",".",".",".",".",".",".","78.0",".",".",".","22.0",".",".",".","."
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
