"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Directed Study","","Course Total","","31","3.903","90.3",".","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Perspectives on Literacy","702","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comp Thry II-Modern","705","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topc-Contmp English Linguis","713","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Meth-Brit & Amer Lit","723","001","","16","3.813","81.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medieval Literature","753","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renaissance Dramatic Lit","762","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"English Lit, 1660-1700","770","001","","12","3.727","58.3","16.7","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Graduate Fiction Workshop","781","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Poetry Workshop","782","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing Pedagogy Smr","783","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","785","039","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","785","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MFA Thesis","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","790","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar-Teaching of Writing","","Course Total","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","795","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","795","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"One-credit Seminar","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","107","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20th Century American Lit","822","002","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"20th Century Literature","823","001","","20","3.882","65.0","20.0",".",".",".",".",".","5.0",".",".",".",".","10.0",".",".","."
"Smr-Modern Literature","867","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-The English Language","906","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Smr-English Literature","936","001","","17","3.875","76.5","11.8","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Smr-Feminist Thry&Criticsm","939","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Topics in 19th Cent Eng Lit","965","001","","10","3.929","60.0","10.0",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"Smr-19th Cent American Lit","971","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 201 of 399",""
