"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Ballroom Dancing","Course Total","289","3.912","78.2","5.9","1.0","1.0","0.3",".","0.3","12.8","",".",".","",".","",".","",".",".",".","0.3"
"Ballroom Dance II","42
001","25","3.773","68.0","8.0","8.0",".","4.0",".",".","12.0",".","",".",".","",".","",".","",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Dance Repertory Theater","451
001","12","3.417","41.7",".","58.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Multimedia Sound Design","520
001","10","3.200","40.0","20.0","30.0",".",".",".","10.0",".",".","",".",".","",".","",".","",".",".","."
"Advanced Composition","555
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","560
001","12","3.667","33.3","66.7",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","560
002","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","560
003","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","560
004","20","3.947","85.0","10.0",".",".",".",".",".","5.0",".","",".",".","",".","",".","",".",".","."
"Current Topics-Dance:Wkshp","Course Total","44","3.744","54.5","36.4","6.8",".",".",".",".","2.3","",".",".","",".","",".","",".",".",".","."
"DANCE
741","Dept. Total","824","3.720","69.3","12.1","7.3","1.8","0.8","0.1","0.7","7.0","",".",".","",".","",".","",".","0.4",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","100","3.758","66.0","24.0","7.0","2.0",".",".",".",".","",".",".","",".","",".","",".","1.0",".","."
"Sophomore","","154","3.738","73.4","11.0","10.4","1.3","1.3",".","0.6","1.3","",".",".","",".","",".","",".","0.6",".","."
"Junior","","215","3.757","72.1","14.9","6.5","0.9","0.5","0.5",".","3.3","",".",".","",".","",".","",".",".",".","1.4"
"Senior","","322","3.658","68.6","7.5","6.8","2.8","0.9",".","1.6","11.5","",".",".","",".","",".","",".","0.3",".","."
"Undergraduates","","791","3.716","70.2","12.3","7.5","1.9","0.8","0.1","0.8","5.8","",".",".","",".","",".","",".","0.4",".","0.4"
"Special","","9","3.833","44.4","11.1","11.1",".",".",".",".","33.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","24","3.850","50.0","8.3",".",".","4.2",".",".","37.5","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","824","3.720","69.3","12.1","7.3","1.8","0.8","0.1","0.7","7.0","",".",".","",".","",".","",".","0.4",".","0.4"
