"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","338","3.605","51.5","28.7","13.6","3.8","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"","140
001","17","3.412","70.6","5.9",".","5.9","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"","140
002","16","3.563","56.3","37.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Voice Training","Course Total","33","3.485","63.6","21.2",".","3.0","3.0","6.1","3.0",".",".",".",".",".",".",".",".","."
"","150
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","20","3.675","75.0","5.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","150
005","18","3.750","83.3",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
006","18","3.611","72.2","11.1","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","150
007","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","139","3.824","84.2","5.8","6.5","0.7","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","161
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","162
001","15","3.577","66.7",".",".","6.7","13.3",".",".","13.3",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","163
001","14","3.250","42.9","7.1","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","16","2.685","12.5","25.0","25.0","12.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".","."
"Directed Study","199
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","219
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-","Course Total","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","63","3.032","23.8","31.7","12.7","15.9","6.3","6.3","3.2",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","19","3.324","21.1","26.3","36.8",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","250
001","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","31","3.629","45.2","35.5","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"In Trans:Drama-A Strindberg","336
001","12","3.345","33.3","25.0","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","17","3.714","70.6","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","362
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
