"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","22","3.432","31.8","31.8","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","201
002","16","3.438","12.5","68.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","38","3.434","23.7","47.4","23.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","250
001","14","2.923","14.3","21.4","14.3","21.4","21.4",".",".","7.1",".",".",".",".",".",".",".","."
"","250
002","28","2.808","14.3","14.3","21.4","7.1","35.7",".",".","3.6",".",".",".",".","3.6",".",".","."
"","003
250","17","2.600","5.9","11.8","17.6","11.8","41.2",".",".","5.9",".",".",".",".","5.9",".",".","."
"","250
004","16","2.656","6.3","12.5","31.3","6.3","43.8",".",".",".",".",".",".",".",".",".",".","."
"","250
005","25","2.680","16.0","12.0","12.0","12.0","48.0",".",".",".",".",".",".",".",".",".",".","."
"","250
006","29","2.586","13.8","13.8","13.8","6.9","48.3",".","3.4",".",".",".",".",".",".",".",".","."
"","250
007","20","2.711","15.0","5.0","25.0","10.0","40.0",".",".","5.0",".",".",".",".",".",".",".","."
"","250
008","22","2.591","18.2","9.1","9.1","9.1","50.0","4.5",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","171","2.685","13.5","12.3","17.5","9.9","42.1","0.6","0.6","2.3",".",".",".",".","1.2",".",".","."
"Prin Land Arc Dsgn&Graphics","261
001","22","3.318","22.7","40.9","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","263
001","6","2.500",".",".","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"","002
263","19","2.737","10.5","31.6","5.3","10.5","36.8","5.3",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","25","2.680","8.0","24.0","16.0","16.0","28.0","8.0",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","2","***","","","","","","","","","","","","","","","",""
"Landscape Arch Tech II","354
001","19","3.105","21.1","42.1","15.8",".","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","21","3.190","23.8","33.3","28.6","4.8",".","9.5",".",".",".",".",".",".",".",".",".","."
"","375
001","20","3.625","30.0","60.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","21","3.946","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","41","3.732","63.4","31.7","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","20","3.400","20.0","45.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","20","3.583","40.0","35.0","10.0",".","5.0",".",".",".",".",".",".",".","10.0",".",".","."
"Restoration Ecology","666
001","15","3.400","46.7","6.7","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptive Restoration Lab","670
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","3","***","","","","","","","","","","","","","","","",""
"Theories-Landscape Change","710
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Design Workshop","920
001","17","3.850","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940
001","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
