"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","142","2.723","21.1","4.2","33.1","5.6","19.7","10.6","2.1","2.8","0.7",".",".",".",".",".",".","."
"103","002","","146","2.791","24.0","7.5","27.4","5.5","21.2","8.9","2.1",".","0.7",".",".",".",".",".","2.7","."
"103","003","","145","2.781","27.6","3.4","26.2","6.9","25.5","6.9","2.8","0.7",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","433","2.765","24.2","5.1","28.9","6.0","22.2","8.8","2.3","1.2","0.5",".",".",".",".",".","0.9","."
"113","002","","17","3.059","23.5","11.8","41.2","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"113","003","","21","2.738","14.3","14.3","42.9",".","9.5","19.0",".",".",".",".",".",".",".",".",".","."
"113","004","","18","2.972","22.2",".","55.6","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"113","005","","16","2.656","12.5",".","50.0","6.3","18.8","12.5",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","72","2.854","18.1","6.9","47.2","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"150
Topics in Astronomy","001","","41","2.737","14.6","7.3","22.0","26.8","14.6","7.3",".","4.9","2.4",".",".",".",".",".",".","."
"160
Life in the Universe","001","","32","2.821","15.6","6.3","34.4","6.3","18.8","6.3",".","12.5",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","21","2.952","38.1","9.5","19.0","9.5","9.5","9.5","4.8",".",".",".",".",".",".",".",".","."
"340
Solar System Astrophysics","001","","11","2.778","9.1","18.2","36.4",".","9.1",".","9.1","9.1","9.1",".",".",".",".",".",".","."
"681
Senior Honors Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"700
Basic Astrophysics","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Intrstelr Med I-Basic Procs","001","","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
