"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","",""
"","100
001","19","2.895","10.5","21.1","31.6","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","100
002","18","3.472","38.9","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Topics Seminar","Course Total","37","3.176","24.3","21.6","32.4","13.5","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103
001","469","3.075","16.4","29.2","25.6","16.8","9.0","2.8","0.2",".",".",".",".",".",".",".",".","."
"","104
001","437","2.711","4.6","23.6","19.5","30.2","14.9","4.8","1.8","0.2",".",".",".",".","0.5",".",".","."
"","104
002","452","2.729","11.3","14.2","27.4","22.8","16.6","5.8","2.0",".",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","Course Total","889","2.720","8.0","18.8","23.5","26.4","15.7","5.3","1.9","0.1",".",".",".",".","0.2",".",".","."
"","106
001","297","3.502","39.1","35.0","20.5","3.0","0.3","0.3","1.3",".",".",".",".",".",".",".","0.3","."
"","106
002","87","3.029","20.7","19.5","33.3","6.9","13.8","3.4","1.1","1.1",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","Course Total","384","3.395","34.9","31.5","23.4","3.9","3.4","1.0","1.3","0.3",".",".",".",".",".",".","0.3","."
"Intro to State Government","205
001","104","3.515","38.5","31.7","22.1","3.8","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Intro to Political Theory","209
001","259","3.173","17.4","27.4","35.9","12.4","5.0","0.8","0.4","0.8",".",".",".",".",".",".",".","."
"Law, Politics and Society","217
001","76","3.220","28.9","22.4","25.0","15.8","3.9","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222
001","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230
001","88","3.114","18.2","31.8","33.0","4.5","6.8","3.4","2.3",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","23","3.261","21.7","30.4","34.8","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","41","3.100","12.2","39.0","29.3","9.8","2.4",".","4.9","2.4",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","54","2.755","16.7","11.1","16.7","22.2","29.6",".","1.9",".",".",".",".",".",".","1.9",".","."
"Prin-International Law","316
001","100","3.071","12.0","36.0","29.0","12.0","6.0","1.0","3.0","1.0",".",".",".",".",".",".",".","."
"","318
001","68","3.478","33.8","33.8","27.9","2.9","1.5",".",".",".",".",".",".",".",".",".",".","."
"","318
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Study of Genocide","Course Total","77","3.532","40.3","31.2","24.7","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"China in World Politics","346
001","71","3.536","42.3","32.4","12.7","7.0","2.8",".",".","1.4",".",".",".",".",".",".","1.4","."
"Probs-Amer Foreign Policy","359
001","67","3.146","16.4","23.9","34.3","16.4","6.0",".",".","1.5",".",".",".",".",".","1.5",".","."
"Study Abroad-Pol Sci:Intnl Rel","390
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
001","19","3.368","31.6","21.1","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","8","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
003","16","3.500","18.8","62.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","11","3.273","18.2","45.5","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","401
005","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","21","3.548","47.6","23.8","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","401
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
008","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","Course Total","101","3.522","40.6","29.7","23.8","5.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Amer Politics & Government","404
001","83","3.172","21.7","24.1","32.5","18.1","1.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"The American Presidency","408
001","128","3.285","24.2","26.6","33.6","10.9","2.3","0.8",".","1.6",".",".",".",".",".",".",".","."
"Constitutional Law","411
001","259","3.135","14.7","34.4","28.6","11.6","6.9","1.2","1.2","0.8",".",".",".",".",".","0.8",".","."
"Administrative Law","420
001","55","3.536","47.3","27.3","14.5","7.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"Legislative Process","426
001","86","2.935","17.4","16.3","33.7","15.1","8.1","4.7","2.3",".",".",".",".",".","1.2","1.2",".","."
"Legislative Internship","427
001","25","3.420","40.0","16.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"The First Amendment","470
001","182","2.957","15.9","17.6","26.4","26.4","10.4","1.1","1.1",".",".",".",".",".",".","1.1",".","."
