"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","384","3.727","70.1","20.6","5.5","2.1","0.5","0.3","0.5","0.3","",".",".",".","",".","",".",".","0.3","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","121","3.737","67.8","23.1","6.6","1.7",".","0.8",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","79","3.746","64.6","29.1","2.5","2.5","1.3",".",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","68","3.615","72.1","13.2","7.4","4.4",".",".","2.9",".","",".",".",".","",".","",".",".",".","."
"Senior","","108","3.782","76.9","14.8","5.6","0.9","0.9",".",".","0.9","",".",".",".","",".","",".",".",".","."
"Undergraduates","","376","3.727","70.5","20.2","5.6","2.1","0.5","0.3","0.5","0.3","",".",".",".","",".","",".",".",".","."
"Special","","5","3.714","40.0","40.0",".",".",".",".",".",".","",".",".",".","",".","",".",".","20.0","."
"Prof Yr 1","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.667","50.0","50.0",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","4","3.833","75.0","25.0",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"","College Total","385","3.727","70.1","20.5","5.5","2.1","0.5","0.3","0.5","0.3","",".",".",".","",".","",".",".","0.3","."
