"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"770
Foundations of Mathematics","001","","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"773
Computability Theory","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"777
Nonlin Dyn,Bifurcatn,Chaos","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Topics in Applied Math","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"819
Partial Differential Equatn","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"823
Adv Topics-Complex Analysis","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Adv Topics-Funct Anal&Diff Eq","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"827
Fourier Analysis","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Theory of Probability","001","","6","3.000","33.3",".","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"843
Representation Theory","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"847
Topics in Algebra","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"903","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"903","002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"903","003","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smr in Math Education","Course Total","","38","4.000","21.1",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"941","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","004","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"95","001","","34","2.676","11.8","29.4","11.8","17.6","8.8","20.6",".",".",".",".",".",".",".",".",".","."
"95","002","","33","3.000","27.3","9.1","21.2","21.2","21.2",".",".",".",".",".",".",".",".",".",".","."
"Fundamental Math Skills","Course Total","","67","2.836","19.4","19.4","16.4","19.4","14.9","10.4",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Topology","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Seminar-Foundations of Math","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","21","",".",".",".",".",".",".",".","95.2",".",".",".",".",".",".","4.8","."
