"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","197","2.982","15.7","23.4","25.4","19.8","11.7","3.0","0.5",".",".",".",".",".",".",".","0.5","."
"","202
001","328","2.684","13.7","18.0","13.1","24.7","20.1","7.6","2.1","0.6",".",".",".",".",".",".",".","."
"","002
202","212","2.616","14.6","10.4","20.3","14.2","29.2","10.8",".","0.5",".",".",".",".",".",".",".","."
"","003
202","231","2.522","13.9","11.3","18.6","10.8","33.3","7.8","4.3",".",".",".",".",".",".",".",".","."
"","202
004","345","2.612","15.9","11.0","19.1","11.3","31.6","9.3","1.4",".",".",".",".",".",".",".","0.3","."
"","202
005","343","2.774","19.0","16.0","16.0","13.1","30.0","2.9","2.3","0.6",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1459","2.652","15.6","13.7","17.1","15.1","28.6","7.4","2.1","0.3",".",".",".",".",".",".","0.1","."
"","210
001","47","2.564","14.9","6.4","23.4","12.8","31.9","8.5","2.1",".",".",".",".",".",".",".",".","."
"","210
002","59","2.741","16.9","11.9","30.5","5.1","23.7","8.5","1.7","1.7",".",".",".",".",".",".",".","."
"","210
003","54","2.830","14.8","9.3","44.4","9.3","11.1","7.4","1.9",".",".",".",".",".","1.9",".",".","."
"","210
004","58","2.681","17.2","8.6","20.7","13.8","34.5","3.4","1.7",".",".",".",".",".",".",".",".","."
"","210
005","56","2.875","21.4","10.7","21.4","21.4","21.4","3.6",".",".",".",".",".",".",".",".",".","."
"","210
006","48","2.802","25.0","2.1","27.1","12.5","27.1","6.3",".",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","322","2.752","18.3","8.4","28.0","12.4","24.8","6.2","1.2","0.3",".",".",".",".","0.3",".",".","."
"","211
001","17","3.294","17.6","29.4","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","19","3.158","31.6","21.1","31.6",".","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Psychology","Course Total","36","3.222","25.0","25.0","38.9","2.8","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"","225
001","40","2.463","2.5","7.5","32.5","10.0","42.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"","225
002","47","2.585","12.8","6.4","23.4","12.8","40.4","2.1","2.1",".",".",".",".",".",".",".",".","."
"","003
225","44","2.500","4.5","13.6","20.5","13.6","40.9","6.8",".",".",".",".",".",".",".",".",".","."
"","004
225","45","2.578","15.6","4.4","20.0","13.3","42.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","176","2.534","9.1","8.0","23.9","12.5","41.5","3.4","1.7",".",".",".",".",".",".",".",".","."
"","281
001","20","3.675","55.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","281
002","22","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","Course Total","42","3.702","59.5","23.8","14.3","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","406
001","86","2.823","22.1","12.8","26.7","8.1","17.4","11.6",".",".",".",".",".",".",".",".",".","1.2"
"Psychology of Motivation","409
001","94","3.407","46.8","14.9","19.1","6.4","8.5",".","1.1","2.1",".",".",".",".","1.1",".",".","."
"Intermed Stats for Psychology","410
001","16","3.344","43.8","12.5","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","411
005","26","3.500","26.9","46.2","19.2","3.8",".",".",".",".",".",".",".",".",".","3.8",".","."
"","411
006","25","3.520","28.0","48.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
015","25","3.360","20.0","32.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
019","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
036","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
048","20","3.600","50.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","411
050","24","3.250","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","411
065","18","3.583","66.7","11.1","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","411
070","17","3.588","52.9","23.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","411
074","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
075","16","3.400","25.0","31.3","31.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","233","3.552","43.3","28.3","23.6","3.0","0.4","0.4",".","0.4",".",".",".",".",".","0.4",".","."
