"","990
116","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
142","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"Readng&Rsch-Real Estate PhD","999
151","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"REAL EST
239","Dept. Total","593","3.391","34.4","29.5","21.4","8.4","3.9","1.2","",".","1.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","2.500",".","33.3","33.3",".",".","33.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","128","3.254","28.1","22.7","31.3","9.4","7.8","0.8","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","352","3.418","35.5","31.3","19.3","9.1","2.8","1.1","",".","0.9","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","484","3.368","33.3","28.9","22.7","9.1","4.1","1.2","",".","0.6","",".",".","",".","",".","",".",".",".","."
"Special","","14","3.143","28.6","35.7","7.1","7.1","14.3","7.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","92","3.561","41.3","32.6","15.2","5.4","1.1",".","",".","4.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","3.333","33.3",".","66.7",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","3","3.333","33.3",".","66.7",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","593","3.391","34.4","29.5","21.4","8.4","3.9","1.2","",".","1.2","",".",".","",".","",".","",".",".",".","."
