"","999
014","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
025","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
066","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","11","3.944","81.8","9.1",".",".",".",".","",".",".","",".",".","",".",".",".",".","9.1","."
"ED POL
310","Dept. Total","457","3.645","43.3","33.7","10.3","2.2","0.4","0.2","",".","3.9","",".","3.1","",".","2.0","0.2",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","3.833","69.0","28.6","2.4",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","8","3.250","25.0","37.5","12.5","12.5","12.5",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","107","3.523","36.4","40.2","17.8","4.7",".","0.9","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","126","3.561","35.7","43.7","15.1","3.2","0.8",".","",".","0.8","",".",".","",".",".","0.8",".",".","."
"Undergraduates","","283","3.578","40.6","39.9","14.1","3.5","0.7","0.4","",".","0.4","",".",".","",".",".","0.4",".",".","."
"Special","","20","3.800","65.0","30.0","5.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","154","3.786","45.5","22.7","3.9",".",".",".","",".","11.0","",".","9.1","",".","5.8",".",".","1.9","."
"","Dept. Total","457","3.645","43.3","33.7","10.3","2.2","0.4","0.2","",".","3.9","",".","3.1","",".","2.0","0.2",".","0.7","."
