"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"234
Prin&Prac-Nuclr Reactr Oper","001","","14","3.107","14.3","21.4","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","21","3.119","23.8","14.3","42.9","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","37","3.081","24.3","18.9","32.4","8.1","10.8","5.4",".",".",".",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","10","3.000",".","10.0","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","17","3.588","58.8","17.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","20","3.325","30.0","40.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","6","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"489","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"525
Introduction to Plasmas","001","","10","3.350","40.0",".","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","14","3.321","14.3","50.0","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","34","3.456","32.4","32.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","18","2.806","11.1","11.1","50.0","16.7",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"705
Advanced Reactor Theory","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Soc Risk Mgmt-Tech Hazards","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","33","",".",".",".",".",".",".",".","84.8",".",".",".","15.2",".",".",".","."
"903
Spec Topics-Plasma Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 135 of 399",""
