"Adv Readings in Hindi Language","653
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Readings in Urdu Language","671
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Readings in Sanskrit","675
001","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Readings in Tibetan","677
001","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LCA LANG
522","Dept. Total","236","3.796","70.3","19.9","5.1","1.3","",".","0.4","0.4","1.3","",".",".","",".","",".","0.4",".",".","0.8"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","49","3.774","59.2","30.6","6.1",".","",".",".",".",".","",".",".","",".","",".","2.0",".",".","2.0"
"Sophomore","","34","3.783","76.5","11.8","2.9","8.8","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","40","3.601","57.5","20.0","15.0",".","",".","2.5","2.5",".","",".",".","",".","",".",".",".",".","2.5"
"Senior","","44","3.852","70.5","18.2","4.5",".","",".",".",".","6.8","",".",".","",".","",".",".",".",".","."
"Undergraduates","","167","3.753","65.3","21.0","7.2","1.8","",".","0.6","0.6","1.8","",".",".","",".","",".","0.6",".",".","1.2"
"Special","","5","3.789","60.0","40.0",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","63","3.920","84.1","15.9",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","236","3.796","70.3","19.9","5.1","1.3","",".","0.4","0.4","1.3","",".",".","",".","",".","0.4",".",".","0.8"
