"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"Human Genetics","565
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
006","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
007","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
008","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
009","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
010","18","3.649","66.7","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","677
011","44","3.935","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
014","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
015","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
017","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","677
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","296","3.942","92.6","4.1","2.0","0.3","0.3",".","0.3",".",".",".",".",".",".",".","0.3","."
"Independent Reading","699
071","17","3.978","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","713
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Genetics","731
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Search Strategies&Analysis","739
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biochm Genetics for Counselors","744
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","813
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990
048","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","357","3.902","85.2","8.7","2.8","0.3","0.6","0.3","0.3","1.7",".",".",".",".",".",".","0.3","."
